Слово,Текст,Оценка
ручка,"Вспомни как на одной из моих работ я с помощью ручки перечитывал книгу по теме "" Напишите предложение со словом ""ручка""",1
слабый,"П.С.: Чтобы Вы не запутались в понятиях (например, слабовольные личности, Напишите предложение со словом ""слабый""",1
дикий,"Я постараюсь вам помочь! Напишите предложение со словом ""дикий""",1
рыбалка,Рыбалка,1
банкомат,"банк Напишите предложение со словом ""банкомат""",1
возраст,"Возраст = возраст=возраст = возраст=возраст=возраст=возраст=воз Напишите предложение со словом ""возраст""",1
зваться,"Как узнать адрес проживания? Напишите предложение со словом ""зваться""",1
пусто,"Так и не поняла, почему именно слово пусто",1
мука,"Например, ""всем""",0
Украина,"Поясните предложение по содержанию? Напишите предложение со словом ""Украина""",1
Украина,"Поясните предложение по содержанию Напишите предложение со словом ""Украина""",1
закрыто,"Закрыто? Напишите предложение со словом ""закрыто""",1
вдоль,"Построение фразы: ""Вдоль по аллее к памятнику Ленина",1
кашель,"14878187	bbell-mull	2013-08 Напишите предложение со словом ""кашель""",1
платье,"Прилагательное ""платье"" Напишите предложение со словом ""платье""",1
рядом,"Имя: Именительный образ: Именательный падеж: Родительный падеж Напишите предложение со словом ""рядом""",1
мимо,"Озеро, озеро, озеро, озеро, озеро, озеро, озеро Напишите предложение со словом ""мимо""",1
крышка,"а я не заметил что у крышки есть бок Напишите предложение со словом ""крышка""",1
любить,"Если Вы будете настаивать, то пишите без ошибок",0
вдоль,"Пример предложения и слово ""вдоль""",1
сметана,Что сметана – это что-то не то,1
переулок,Напишите его правильно,0
холод,"Володь - холод, Напишите предложение со словом ""холод""",1
богатый,"А затем напишите слово ""приличность"" и ""порядочность""",0
умываться,"Это можно сказать и о ""умывании"", и о ""мощном"" умывании",0
слышать,"Он будет звучать ""голос разума"" - по нашему варианту ""свобода слова""",0
грозно,Гроза,0
раздеваться,"Какими словами вы хотите описать свои ощущения? — Что значит ""раздеваться""?  Что Напишите предложение со словом ""раздеваться""",1
много,"Для этого нажмите ""вставить"": Для вас в списке предложенных задач есть слово ""мало"", и Напишите предложение со словом ""много""",1
ворота,"Это как? Напишите предложение со словом ""ворота""",1
Швеция,Швеция,1
солнце,"солнце Напишите предложение со словом ""солнце""",1
лапша,"Не надо писать только ""Лапшой"" =) Мы хотим написать ""Лапш Напишите предложение со словом ""лапша""",1
звезда,"Все предложения, содержащие название звезды или имя звезды, кроме строк с именами звёзд Напишите предложение со словом ""звезда""",1
Кипр,свадьба..,0
справа,"Если я пишу что-нибудь вроде ""там"" - значит, что-то есть",0
нравиться,"Мне понравился фильм ""Пиджак""",0
банка,"Новое дело или новый предмет - нет, в этом случае вопрос задан - а о каком бы документе Вы Напишите предложение со словом ""банка""",1
ужин,Простая логика,0
зал,"Напишите предложение со словом ""а""",0
а,"Напишите предложение со словом ""а"".",1
скоро,"На сайте компании ""Аспект-Компьютерные Системы"" представлена актуальная информация от ведущих отечественных и Напишите предложение со словом ""скоро""",1
ездить,"вчера Напишите предложение со словом ""ездить""",1
космонавт,Под его руководством и во время полёта вы будете испытывать самые высокие результаты на земле,0
дарить,"Согласны, дарите?)) Напишите предложение со словом ""дарить""",1
сыр,Ответ,0
возраст,"7, 11, 13-14, 16-19 лет",0
Венгрия,"В качестве базы для подготовки и проверки ответа можно использовать информацию: Напишите предложение со словом ""Венгрия""",1
штраф,Штраф,1
предпочесть,"Вы когда-нибудь задавались вопросом, почему некоторые компании не хотят работать по принципу ""одного Напишите предложение со словом ""предпочесть""",1
клубника,"&nbsp; Напишите предложение со словом ""клубника""",1
прямой,"существительное и глагол, вопрос Напишите предложение со словом ""прямой""",1
снимать,"Оно и так со словом ""снимать""",1
понимать,"Почему именно отзовитесь?  Что для Вас важнее: ""понимать или не понимать""? Напишите предложение со словом ""понимать""",1
поесть,"не вкусно но что-то нужно есть Напишите предложение со словом ""поесть""",1
специально,"не, я по разному работаю Напишите предложение со словом ""специально""",1
тур,Напишите текст,0
вбок,"-- Так зачем же вы так спешите У вас сейчас все равно никого нет, на вашей работе даже Напишите предложение со словом ""вбок""",1
права,"* * * Я хочу попросить у Христа прощения перед своим сыном!  Сын мой, который хочет, Напишите предложение со словом ""права""",1
пикник,"Например: В одном из этих кафе, только очень молоденьких",0
сильно,"Кратко, с большой буквы",0
маршрут,маршрутом,1
ракета,"ракета Напишите предложение со словом ""ракета""",1
линейка,"Линейка это такой материал, из которого состоит вся ваша жизнь",1
сливки,"Что можно написать при этом слово сливки? Напишите предложение со словом ""сливки""",1
отвечать,вопрос задан некорректно...,0
рубашка,"Репетиция, балет, игра на балалайке и т",0
собака,Собака-собака,1
прыжок,"а) прыжок в длину б) прыжок в высоту г) прыжок в высоту д) прыжок на спине Напишите предложение со словом ""прыжок""",1
перерыв,"Сочетание слов: Перерыв ""Утро было чудесным",1
дочь,"Имя существительное Напишите предложение со словом ""дочь""",1
вдова,"Это одно единственное предложение, которое я могу отнести к какому-то пункту",0
ждать,"""  Спасибо! Напишите предложение со словом ""ждать""",1
внутри,"Что такое ""внутри"" или ""наруж"" и что именно это такое? Напишите предложение со словом ""внутри""",1
слабый,"Это одно из многих произведений, что я прочитала на днях по ТВ",0
полночь,"с утра, на работе Напишите предложение со словом ""полночь""",1
иметь,Делать добро,0
выходной,"я всегда хожу с ребенком Напишите предложение со словом ""выходной""",1
бедный,Проанализируйте ситуацию,0
осторожно,В,0
стол,"По какому виду слов напишите предложение? в 2 предложения! Напишите предложение со словом ""стол""",1
земля,Сформулируйте свой вопрос с двумя предложениями,0
вертолет,"Какой вариант предложения, когда нужно сделать предложение с прилагательным неодушевленное?  Спасибо.) Напишите предложение со словом ""вертолет""",1
программа,"Программа обучения Напишите предложение со словом ""программа""",1
шептать,"Какие действия предпринять Напишите предложение со словом ""шептать""",1
выгодно,"Выгодно для государства""!&nbsp;                                                                      Фото: Олег Бачило / РИА Напишите предложение со словом ""выгодно""",1
акт,"история Напишите предложение со словом ""акт""",1
забыть,"""Поцелуй"" Напишите предложение со словом ""забыть""",1
думать,"""Сочинение"" относится к числу наиболее часто встречаемых при составлении различных школьных программных документов",0
горох,"Найдите в тексте местоимения ""горох"", ""горох"" или "" Напишите предложение со словом ""горох""",1
пятно,Напишите предложенное с буквами Е (1),0
медуза,"медуза Напишите предложение со словом ""медуза""",1
Мексика,"Где расположены города Мексики? Напишите предложение со словом ""Мексика""",1
кетчуп,1.1.1,0
документ,"В данном предложении имеется два рода предложений: Напишите предложение со словом ""документ""",1
центр,Мы с мужем решили поехать отдыхать в Болгарию,0
интернет,"Сочинение на тему ""Интернет"" Напишите предложение со словом ""интернет""",1
ловить,Приведите примеры в пример,0
кружка,"А если я к кружке отнесусь с особым пренебрежением? Напишите предложение со словом ""кружка""",1
щедро,Ищите совпадения,0
осторожно,Оно должно быть не менее 100 символов,0
плавание,"Ох, уж это слово..",0
хвост,"Хвост Напишите предложение со словом ""хвост""",1
правый,"правый руль Напишите предложение со словом ""правый""",1
эгоист,"Эгоист-это человек обладающий эгоизмом, эгоистической составляющей характера",1
почти,"По-моему, оно звучит..",0
уверенный,Найдите все это выражение в виде ответа,0
права,Это можно сделать даже прямо при помощи графического редактора QuickTime,0
заплатить,"В предложении не должны присутствовать два обязательных союза: не плати и не говори: не пла Напишите предложение со словом ""заплатить""",1
рынок,"В этой статье я расскажу вам, кто и как покупает товары, а также в чем заключается ""ры Напишите предложение со словом ""рынок""",1
месяц,3,0
правильный,"Правильные предложения: А) Напишите слово ""Правильный"": что можно сказать об этом? Б Напишите предложение со словом ""правильный""",1
